name,type,value,date
Exxon Mobil,USA,400628,Sep-05
General Electric,USA,356929,Sep-05
Microsoft,USA,275638,Sep-05
Citigroup,USA,235342,Sep-05
Royal Dutch Shell,Netherlands,228850,Sep-05
Johnson & Johnson,USA,188238,Sep-05
HSBC,United Kingdom,182741,Sep-05
WalMart,USA,182409,Sep-05
BP,United Kingdom,250083,Sep-05
Pfizer,USA,184041,Sep-05
General Electric,USA,359728.1,Dec-05
ExxonMobil,USA,356129.4,Dec-05
Microsoft,USA,278404.4,Dec-05
Citigroup,USA,237138.45,Dec-05
BP,United Kingdom,229171.3,Dec-05
Royal Dutch Shell,Netherlands,220064.75,Dec-05
WalMart,USA,189634.65,Dec-05
Procter & Gamble,USA,189400.25,Dec-05
Toyota,Japan,188409,Dec-05
Bank of America,USA,182460,Dec-05
Exxon Mobil,USA,371631,Mar-06
General Electric,USA,362527,Mar-06
Microsoft,USA,281171,Mar-06
Citigroup,USA,238935,Mar-06
BP,United Kingdom,233260,Mar-06
Bank of America,USA,211706,Mar-06
Royal Dutch Shell,Netherlands,211280,Mar-06
WalMart,USA,196860,Mar-06
Toyota,Japan,196731,Mar-06
Gazprom,Russia,196339,Mar-06
Exxon Mobil,USA,371187,Jun-06
General Electric,USA,342731,Jun-06
Gazprom,Russia,246341,Jun-06
Citigroup,USA,239862,Jun-06
Microsoft,USA,237688,Jun-06
BP,United Kingdom,233151,Jun-06
Royal Dutch Shell,Netherlands,224925,Jun-06
Bank of America,USA,219504,Jun-06
HSBC,United Kingdom,201854,Jun-06
WalMart,USA,200762,Jun-06
Exxon Mobil,USA,398906,Sep-06
General Electric,USA,364414,Sep-06
Microsoft,USA,272679,Sep-06
Gazprom,Russia,254634.3,Sep-06
Citigroup,USA,246727,Sep-06
Bank of America,USA,242451,Sep-06
Royal Dutch Shell,Netherlands,216368,Sep-06
BP,United Kingdom,215623,Sep-06
HSBC,United Kingdom,209774,Sep-06
Pfizer,USA,206785,Sep-06
Exxon Mobil,USA,446943,Dec-06
General Electric,USA,383564,Dec-06
Microsoft,USA,293537,Dec-06
Citigroup,USA,273691,Dec-06
Gazprom,Russia,271482,Dec-06
Industrial & Commercial Bank of China,China,254592,Dec-06
Toyota,Japan,241161,Dec-06
Bank of America,USA,239758,Dec-06
Royal Dutch Shell,Netherlands,225781,Dec-06
BP,United Kingdom,218643,Dec-06
Exxon Mobil,USA,429567,Mar-07
General Electric,USA,363611,Mar-07
Microsoft,USA,272912,Mar-07
Citigroup,USA,252857,Mar-07
AT&T,USA,246206,Mar-07
Gazprom,Russia,245911,Mar-07
Toyota,Japan,230832,Mar-07
Bank of America,USA,228177,Mar-07
ICBC,China,224788,Mar-07
Royal Dutch Shell,Netherlands,214018,Mar-07
Exxon Mobil,USA,472519,Jun-07
General Electric,USA,393831,Jun-07
Microsoft,USA,281934,Jun-07
Royal Dutch Shell,Netherlands,266141,Jun-07
AT&T,USA,255871,Jun-07
Citigroup,USA,253703,Jun-07
Gazprom,Russia,245757,Jun-07
BP,United Kingdom,231491,Jun-07
Toyota,Japan,228009,Jun-07
Bank of America,USA,216963,Jun-07
Exxon Mobil,USA,513362,Sep-07
General Electric,USA,424191,Sep-07
China Mobile,China,327937,Sep-07
ICBC,China,279269,Sep-07
Microsoft,USA,276202,Sep-07
Royal Dutch Shell,Netherlands,264397,Sep-07
Gazprom,Russia,260249,Sep-07
AT&T,USA,258047,Sep-07
Citigroup,USA,232162,Sep-07
Bank of America,USA,223066,Sep-07
Petro China,China,723952,Dec-07
Exxon Mobil,USA,511887,Dec-07
General Electric,USA,374637,Dec-07
China Mobile,China,354120,Dec-07
ICBC,China,338989,Dec-07
Microsoft,USA,333054,Dec-07
Gazprom,Russia,329591,Dec-07
Royal Dutch Shell,Netherlands,269544,Dec-07
AT&T,USA,252051,Dec-07
Sinopec,China,249645,Dec-07
Exxon Mobil,USA,452505,Mar-08
Petro China,China,423996,Mar-08
General Electric,USA,369569,Mar-08
Gazprom,Russia,299764,Mar-08
China Mobile,China,298093,Mar-08
ICBC,China,277236,Mar-08
Microsoft,USA,264132,Mar-08
AT&T,USA,231168,Mar-08
Royal Dutch Shell,Netherlands,220110,Mar-08
Procter & Gamble,USA,215640,Mar-08
Exxon Mobil,USA,465652,Jun-08
Petro China,China,341140.3,Jun-08
ICBC,China,257004.4,Jun-08
Microsoft,USA,211546.2,Jun-08
China Mobile,China,200832.4,Jun-08
WalMart,USA,188752,Jun-08
China Construction Bank,China,182186.7,Jun-08
Petrobras,Brazil,165056.9,Jun-08
Johnson & Johnson,USA,156515.9,Jun-08
Royal Dutch Shell,Netherlands,156386.7,Jun-08
Exxon Mobil,USA,403366,Sep-08
Petro China,China,325097.5,Sep-08
ICBC,China,237951.5,Sep-08
Microsoft,USA,229630.7,Sep-08
HSBC,United Kingdom,198561.1,Sep-08
China Mobile,China,195680.4,Sep-08
WalMart,USA,189331.6,Sep-08
Petrobras,Brazil,189027.7,Sep-08
China Construction Bank,China,186816.7,Sep-08
Royal Dutch Shell,Netherlands,175986.1,Sep-08
Exxon Mobil,USA,406067,Dec-08
Petro China,China,259836,Dec-08
WalMart,USA,219898,Dec-08
China Mobile,China,201291,Dec-08
Procter & Gamble,USA,184576,Dec-08
ICBC,China,173930,Dec-08
Microsoft,USA,172929,Dec-08
AT&T,USA,167950,Dec-08
Johnson & Johnson,USA,166002,Dec-08
General Electric,USA,161278,Dec-08
Exxon Mobil,USA,336527,Mar-09
Petro China,China,287185,Mar-09
WalMart,USA,204365,Mar-09
ICBC,China,187885,Mar-09
China Mobile,China,174673,Mar-09
Microsoft,USA,163320,Mar-09
AT&T,USA,148511,Mar-09
Johnson & Johnson,USA,145481,Mar-09
Royal Dutch Shell,Netherlands,138999,Mar-09
Procter & Gamble,USA,138013,Mar-09
Petro China,China,366662.9,Jun-09
Exxon Mobil,USA,341140.3,Jun-09
ICBC,China,257004.4,Jun-09
Microsoft,USA,211546.2,Jun-09
China Mobile,China,200832.4,Jun-09
WalMart,USA,188752,Jun-09
China Construction Bank,China,182186.7,Jun-09
Petrobras,Brazil,165056.9,Jun-09
Johnson & Johnson,USA,156515.9,Jun-09
Royal Dutch Shell,Netherlands,156386.7,Jun-09
Exxon Mobil,USA,329725,Sep-09
Petro China,China,325097.5,Sep-09
ICBC,China,237951.5,Sep-09
Microsoft,USA,229630.7,Sep-09
HSBC,United Kingdom,198561.1,Sep-09
China Mobile,China,195680.4,Sep-09
WalMart,USA,189331.6,Sep-09
Petrobras,Brazil,189027.7,Sep-09
China Construction Bank,China,186816.7,Sep-09
Royal Dutch Shell,Netherlands,175986.1,Sep-09
Petro China,China,353140.1,Dec-09
Exxon Mobil,USA,323717.1,Dec-09
Microsoft,USA,270635.4,Dec-09
ICBC,China,268956.2,Dec-09
WalMart,USA,203653.6,Dec-09
China Construction Bank,China,201436.1,Dec-09
BHP Billiton,Australia,201248,Dec-09
HSBC,United Kingdom,199254.9,Dec-09
Petrobras,Brazil,199107.9,Dec-09
Apple,USA,189801.7,Dec-09
Petro China,China,329259.7,Mar-10
Exxon Mobil,USA,316230.8,Mar-10
Microsoft,USA,256864.7,Mar-10
ICBC,China,246419.8,Mar-10
Apple,USA,213096.7,Mar-10
BHP Billiton,Australia,209935.1,Mar-10
WalMart,USA,209000.7,Mar-10
Berkshire Hathaway,USA,200620.5,Mar-10
General Electric,USA,194246.2,Mar-10
China Mobile,China,192998.6,Mar-10
Exxon Mobil,USA,291789.1,Jun-10
Petro China,China,268504.8,Jun-10
Apple,USA,228876.8,Jun-10
ICBC,China,211258.7,Jun-10
Microsoft,USA,201655.8,Jun-10
China Mobile,China,201471.2,Jun-10
Berkshire Hathaway,USA,197356.8,Jun-10
China Construction Bank,China,189170.7,Jun-10
WalMart,USA,178322.7,Jun-10
Procter & Gamble,USA,172736.5,Jun-10
Exxon Mobil,USA,314622.5,Sep-10
Petro China,China,270889.9,Sep-10
Apple,USA,259223.4,Sep-10
Petrobras,Brazil,220616.5,Sep-10
ICBC,China,213364.1,Sep-10
Microsoft,USA,210676.4,Sep-10
China Mobile,China,205339.6,Sep-10
Berkshire Hathaway,USA,204792,Sep-10
China Construction Bank,China,202998.4,Sep-10
BHP Billiton,Australia,196866,Sep-10
Exxon Mobil,USA,368711.5,Dec-10
Petro China,China,303273.6,Dec-10
Apple,USA,295886.3,Dec-10
BHP Billiton,Australia,243540.3,Dec-10
Microsoft,USA,238784.5,Dec-10
ICBC,China,233369.1,Dec-10
Petrobras,Brazil,229066.6,Dec-10
China Construction Bank,China,222245.1,Dec-10
Royal Dutch Shell,Netherlands,208593.7,Dec-10
Nestle,Switzerland,203534.3,Dec-10
BHP Billiton,Australia,247079.5,Mar-11
Petrobras,Brazil,247417.6,Mar-11
China Construction Bank,China,232608.6,Mar-11
ICBC,China,251078.1,Mar-11
Petro China,China,326199.2,Mar-11
Royal Dutch Shell,Netherlands,226128.7,Mar-11
Apple,USA,321072.1,Mar-11
Chevron Corporation,USA,215780.6,Mar-11
Exxon Mobil,USA,417166.7,Mar-11
Microsoft,USA,213336.4,Mar-11
BHP Billiton,Australia,233626.5,Jun-11
Petrobras,Brazil,210111.4,Jun-11
ICBC,China,246850.5,Jun-11
Petro China,China,303649.9,Jun-11
Royal Dutch Shell,Netherlands,225122.8,Jun-11
Nestle,Switzerland,215017.5,Jun-11
Apple,USA,310412.3,Jun-11
Exxon Mobil,USA,400884.5,Jun-11
IBM,USA,207781.4,Jun-11
Microsoft,USA,219251.9,Jun-11
China Mobile,China,198778.7,Sep-11
ICBC,China,206021.4,Sep-11
Petro China,China,276473.9,Sep-11
Royal Dutch Shell,Netherlands,197061.1,Sep-11
Nestle,Switzerland,191115.6,Sep-11
Apple,USA,353518.1,Sep-11
